names,scores,logfoldchanges,pvals,pvals_adj,comparison,ref_group,target_group
Neat1,-0.59309924,-0.64887595,0.5531147522998034,1.0,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Tox,-0.6010712,-3.6763332,0.547792582225595,1.0,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Gpr179,-0.6084082,-23.986036,0.5429167791975995,1.0,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Gabrg3,-0.6084082,-23.994963,0.5429167791975995,1.0,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Crym,-0.61130065,-3.2633715,0.5410005467067249,1.0,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Dmp1,-0.6148986,-2.6100447,0.5386216660022701,1.0,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Sox11,-0.62646854,-2.5656657,0.5310076609619593,1.0,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Slc9a9,-0.63803846,-2.8952396,0.5234486435241612,1.0,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Cdh4,-0.6423419,-2.048546,0.5206512109647721,1.0,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Olfr287,-0.66371804,-24.123484,0.5068707985031196,1.0,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Porcn,-0.6654112,-2.1400945,0.5057875319253666,1.0,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Grik4,-0.67373586,-4.1375504,0.5004792456215923,1.0,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Smpdl3a,-0.6756407,-0.60250646,0.4992688042965632,1.0,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Utp14b,-0.67832154,-1.7699258,0.4975678581174785,1.0,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Cecr2,-0.6879161,-2.3922205,0.4915056290036227,1.0,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Nckap5,-0.6932072,-2.806204,0.4881795298450168,1.0,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
